Geo,Price_Index,Year,Quarter
CZ,107.7,2016,Q3
CZ,112.8,2016,Q4
CZ,116.2,2017,Q1
CZ,119.1,2017,Q2
CZ,121.2,2017,Q3
CZ,122.3,2017,Q4
CZ,125,2018,Q1
CZ,128.7,2018,Q2
CZ,131.9,2018,Q3
CZ,134.4,2018,Q4
CZ,137.2,2019,Q1
CZ,140.6,2019,Q2
CZ,143.4,2019,Q3
CZ,146.4,2019,Q4
CZ,149,2020,Q1
CZ,151.5,2020,Q2
CZ,155.4,2020,Q3
CZ,159.5,2020,Q4
CZ,168.9,2021,Q1
CZ,177.6,2021,Q2
CZ,189.8,2021,Q3
CZ,200.6,2021,Q4
CZ,210,2022,Q1
CZ,217.2,2022,Q2
CZ,219.4,2022,Q3
CZ,214.5,2022,Q4
DE,84.2,2005,Q1
DE,82.7,2005,Q2
DE,84.4,2005,Q3
DE,82,2005,Q4
DE,83.2,2006,Q1
DE,83.5,2006,Q2
DE,82.3,2006,Q3
DE,83,2006,Q4
DE,80,2007,Q1
DE,81.7,2007,Q2
DE,81.6,2007,Q3
DE,81.6,2007,Q4
DE,82.8,2008,Q1
DE,83.1,2008,Q2
DE,81.6,2008,Q3
DE,81.8,2008,Q4
DE,81.8,2009,Q1
DE,83.1,2009,Q2
DE,82.9,2009,Q3
DE,84.2,2009,Q4
DE,83,2010,Q1
DE,84.3,2010,Q2
DE,84.3,2010,Q3
DE,83.8,2010,Q4
DE,86,2011,Q1
DE,87.1,2011,Q2
DE,86.7,2011,Q3
DE,87.3,2011,Q4
DE,87.9,2012,Q1
DE,89.1,2012,Q2
DE,90.4,2012,Q3
DE,91.6,2012,Q4
DE,91.3,2013,Q1
DE,93.1,2013,Q2
DE,92.9,2013,Q3
DE,93,2013,Q4
DE,93.8,2014,Q1
DE,95.7,2014,Q2
DE,96.2,2014,Q3
DE,96.2,2014,Q4
DE,97.8,2015,Q1
DE,99.9,2015,Q2
DE,100.4,2015,Q3
DE,101.8,2015,Q4
DE,103.9,2016,Q1
DE,106.9,2016,Q2
DE,108.8,2016,Q3
DE,110.4,2016,Q4
DE,110.9,2017,Q1
DE,113.1,2017,Q2
DE,115,2017,Q3
DE,117.3,2017,Q4
DE,118.3,2018,Q1
DE,120.6,2018,Q2
DE,123.1,2018,Q3
DE,124.6,2018,Q4
DE,124.6,2019,Q1
DE,127.8,2019,Q2
DE,129.6,2019,Q3
DE,132.7,2019,Q4
DE,133.8,2020,Q1
DE,136.2,2020,Q2
DE,140.3,2020,Q3
DE,144.3,2020,Q4
DE,146.3,2021,Q1
DE,151.8,2021,Q2
DE,158.2,2021,Q3
DE,162.5,2021,Q4
DE,163.2,2022,Q1
DE,166.6,2022,Q2
DE,165,2022,Q3
DE,156.7,2022,Q4
DK,75.49,2005,Q1
DK,79.46,2005,Q2
DK,85.56,2005,Q3
DK,91.19,2005,Q4
DK,97.68,2006,Q1
DK,103.64,2006,Q2
DK,105.67,2006,Q3
DK,104.58,2006,Q4
DK,105.01,2007,Q1
DK,106.41,2007,Q2
DK,106.58,2007,Q3
DK,104.58,2007,Q4
DK,103.24,2008,Q1
DK,103.56,2008,Q2
DK,100.91,2008,Q3
DK,93.04,2008,Q4
DK,87.14,2009,Q1
DK,88.18,2009,Q2
DK,88.88,2009,Q3
DK,88.55,2009,Q4
DK,89.12,2010,Q1
DK,91,2010,Q2
DK,91.73,2010,Q3
DK,90.78,2010,Q4
DK,89.91,2011,Q1
DK,91.94,2011,Q2
DK,88.9,2011,Q3
DK,85.74,2011,Q4
DK,85.75,2012,Q1
DK,86.99,2012,Q2
DK,87.26,2012,Q3
DK,86.85,2012,Q4
DK,88.03,2013,Q1
DK,91.17,2013,Q2
DK,91.21,2013,Q3
DK,89.95,2013,Q4
DK,91.22,2014,Q1
DK,94.69,2014,Q2
DK,94.21,2014,Q3
DK,93.83,2014,Q4
DK,97.34,2015,Q1
DK,100.59,2015,Q2
DK,101.03,2015,Q3
DK,101.04,2015,Q4
DK,102.99,2016,Q1
DK,105.58,2016,Q2
DK,107,2016,Q3
DK,105.29,2016,Q4
DK,107.6,2017,Q1
DK,110.52,2017,Q2
DK,111.98,2017,Q3
DK,109.89,2017,Q4
DK,114,2018,Q1
DK,115.62,2018,Q2
DK,116.07,2018,Q3
DK,113.54,2018,Q4
DK,116.03,2019,Q1
DK,118.69,2019,Q2
DK,118.89,2019,Q3
DK,116.41,2019,Q4
DK,118.36,2020,Q1
DK,120.35,2020,Q2
DK,126.24,2020,Q3
DK,128.98,2020,Q4
DK,135.02,2021,Q1
DK,138.87,2021,Q2
DK,140.44,2021,Q3
DK,137.57,2021,Q4
DK,140.64,2022,Q1
DK,142.51,2022,Q2
DK,137.48,2022,Q3
DK,128.58,2022,Q4
EE,50.59,2005,Q1
EE,57.07,2005,Q2
EE,60.25,2005,Q3
EE,68.14,2005,Q4
EE,77.03,2006,Q1
EE,84.82,2006,Q2
EE,90.76,2006,Q3
EE,100.27,2006,Q4
EE,103.53,2007,Q1
EE,110.16,2007,Q2
EE,107,2007,Q3
EE,105.46,2007,Q4
EE,102.22,2008,Q1
EE,99.17,2008,Q2
EE,99.04,2008,Q3
EE,84.74,2008,Q4
EE,66.51,2009,Q1
EE,61.83,2009,Q2
EE,57.25,2009,Q3
EE,56.27,2009,Q4
EE,62.84,2010,Q1
EE,63.42,2010,Q2
EE,65.82,2010,Q3
EE,63.51,2010,Q4
EE,67.03,2011,Q1
EE,68.98,2011,Q2
EE,70.29,2011,Q3
EE,70.98,2011,Q4
EE,71.91,2012,Q1
EE,74.27,2012,Q2
EE,76.17,2012,Q3
EE,75.13,2012,Q4
EE,77.45,2013,Q1
EE,80.3,2013,Q2
EE,84.6,2013,Q3
EE,86.82,2013,Q4
EE,91.01,2014,Q1
EE,91.98,2014,Q2
EE,95.77,2014,Q3
EE,95.57,2014,Q4
EE,98.31,2015,Q1
EE,101.6,2015,Q2
EE,99.63,2015,Q3
EE,100.46,2015,Q4
EE,100.32,2016,Q1
EE,103.47,2016,Q2
EE,106.98,2016,Q3
EE,108.21,2016,Q4
EE,108.08,2017,Q1
EE,108.42,2017,Q2
EE,112.06,2017,Q3
EE,113.49,2017,Q4
EE,115.17,2018,Q1
EE,116.43,2018,Q2
EE,116.71,2018,Q3
EE,119.96,2018,Q4
EE,121.99,2019,Q1
EE,123.14,2019,Q2
EE,126.16,2019,Q3
EE,129.79,2019,Q4
EE,135.98,2020,Q1
EE,128.1,2020,Q2
EE,131.08,2020,Q3
EE,136.01,2020,Q4
EE,144.93,2021,Q1
EE,148.69,2021,Q2
EE,153.71,2021,Q3
EE,163.78,2021,Q4
EE,175.37,2022,Q1
EE,189.36,2022,Q2
EE,190.94,2022,Q3
EE,191.38,2022,Q4
ES,123.7,2005,Q4
ES,128.3,2006,Q1
ES,133.79,2006,Q2
ES,138.16,2006,Q3
ES,141.74,2006,Q4
ES,145.14,2007,Q1
ES,149.29,2007,Q2
ES,150.9,2007,Q3
ES,149.82,2007,Q4
ES,149.27,2008,Q1
ES,148.88,2008,Q2
ES,146.51,2008,Q3
ES,141.99,2008,Q4
ES,138.2,2009,Q1
ES,137.58,2009,Q2
ES,136.33,2009,Q3
ES,135.78,2009,Q4
ES,134.08,2010,Q1
ES,136.26,2010,Q2
ES,134.01,2010,Q3
ES,133.86,2010,Q4
ES,129.31,2011,Q1
ES,127.76,2011,Q2
ES,123.2,2011,Q3
ES,116.8,2011,Q4
ES,110.97,2012,Q1
ES,107.37,2012,Q2
ES,103.36,2012,Q3
ES,101.91,2012,Q4
ES,96.75,2013,Q1
ES,95.98,2013,Q2
ES,96.72,2013,Q3
ES,95.5,2013,Q4
ES,95.2,2014,Q1
ES,96.78,2014,Q2
ES,96.99,2014,Q3
ES,97.18,2014,Q4
ES,96.67,2015,Q1
ES,100.67,2015,Q2
ES,101.34,2015,Q3
ES,101.31,2015,Q4
ES,102.74,2016,Q1
ES,104.55,2016,Q2
ES,105.41,2016,Q3
ES,105.78,2016,Q4
ES,108.2,2017,Q1
ES,110.39,2017,Q2
ES,112.43,2017,Q3
ES,113.39,2017,Q4
ES,114.96,2018,Q1
ES,117.9,2018,Q2
ES,120.48,2018,Q3
ES,120.97,2018,Q4
ES,122.88,2019,Q1
ES,124.27,2019,Q2
ES,126.26,2019,Q3
ES,125.44,2019,Q4
ES,126.92,2020,Q1
ES,126.98,2020,Q2
ES,128.56,2020,Q3
ES,127.55,2020,Q4
ES,128.12,2021,Q1
ES,131.15,2021,Q2
ES,133.92,2021,Q3
ES,135.58,2021,Q4
ES,139.05,2022,Q1
